date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:45	409444/409444	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202022%2019:00:49%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/block-diagram-redactor.html	(from )
21:00:45	153/153	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Dec%202022%2019:00:50%20GMT	https://web.archive.org/robots.txt		(from )
21:00:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:51%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/index.html	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:53%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/graph-redactor	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/graph-redactor	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:54%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/calculators	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/calculators	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:54%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/useful	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/useful	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:52	159015/159015	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202022%2019:00:55%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/programs	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/programs.html	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:56%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/projects	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/projects	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:57%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/contacts	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/contacts	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:58%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/poleznoe/how-to-use-our-block-diagram-redactor	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/poleznoe/how-to-use-our-block-diagram-redactor	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/block-diagram-redactor)
21:00:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:58%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/graph-redactor	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/graph-redactor	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:00:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:58%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/calculators	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/calculators	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:00:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:58%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/useful	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/useful	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:00:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:59%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/projects	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/projects	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:00:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:00:59%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/contacts	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/contacts	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:00:56	136920/136920	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:00%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/images/programs/eclipse-screenshot.png	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/images/programs/eclipse-screenshot.png	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:07	136580/136580	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:11%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/files/programs/eclipse-inst-win32.zip	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/files/programs/eclipse-inst-win32.zip	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:09	136916/136916	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:13%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/files/programs/eclipse-inst-win64.zip	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/files/programs/eclipse-inst-win64.zip	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:13	136930/136930	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:17%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/images/programs/visualstudio-screenshot.png	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/images/programs/visualstudio-screenshot.png	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:27	136931/136931	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:31%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/files/programs/VisualStudioCommunity2017.zip	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/files/programs/VisualStudioCommunity2017.zip	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:28	136923/136923	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:33%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/images/programs/pascalabc-screenshot.png	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/images/programs/pascalabc-screenshot.png	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:30	136906/136906	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:34%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/files/programs/PascalABC.Net.zip	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/files/programs/PascalABC.Net.zip	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:32	136930/136930	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:36%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/images/programs/sublimetext3-screenshot.png	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/images/programs/sublimetext3-screenshot.png	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:33	136903/136903	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2023%20Dec%202022%2019:01:38%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/files/programs/SublimeText3.zip	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/files/programs/SublimeText3.zip	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:01:38%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/useful	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/useful	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:01:38%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/projects	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/projects	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:01:39%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/graph-redactor	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/graph-redactor	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
21:01:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Dec%202022%2019:01:39%20GMT	https://web.archive.org/web/20220618093106/https://programforyou.ru/calculators	./websites/block%20scheme/web.archive.org/web/20220618093106/https_/programforyou.ru/calculators	(from https://web.archive.org/web/20220618093106/https://programforyou.ru/programs)
